,index,link,title,recall_info,date,issue,audience,company,distribution,recall_class
0,1664,https://recalls-rappels.canada.ca/en/alert-recall/tupperware-brand-southwest-chipotle-seasoning-recalled-due-salmonella,Tupperware brand Southwest Chipotle Seasoning recalled due to Salmonella,"Tupperware brand Southwest Chipotle Seasoning recalled due to Salmonella      
       
  
                        
             
Starting date:
December 31, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall Warning…",2016-12-31,Microbiological - Salmonella,Consumer,Tupperware Canada,National,Class 2
1,1665,https://recalls-rappels.canada.ca/en/alert-recall/eden-organic-and-sobaya-brand-pasta-products-recalled-due-presence-insects,Eden Organic and Sobaya brand pasta products recalled due to presence of insects,"Eden Organic and Sobaya brand pasta products recalled due to presence of insects      
       
  
                        
             
Starting date:
December 30, 2016
Type of communication:
Recall
Alert sub-type:
Notification…",2016-12-30,Extraneous Material,Retail,Koyo Foods Inc.,"Ontario, Quebec",Class 3
2,1666,https://recalls-rappels.canada.ca/en/alert-recall/lenny-and-larry-s-complete-cookie-brand-chocolate-chip-cookies-recalled-due-0,Lenny and Larry's The Complete Cookie brand chocolate chip cookies recalled due to undeclared milk,"Lenny and Larry's The Complete Cookie brand chocolate chip cookies recalled due to undeclared milk      
       
  
                        
             
Starting date:
December 30, 2016
Type of communication:
Recall
Alert…",2016-12-30,Allergen - Milk,Retail,Nutrition Club,National,Class 1
6,1667,https://recalls-rappels.canada.ca/en/alert-recall/divella-brand-pasta-product-recalled-due-presence-insects,Divella brand pasta product recalled due to presence of insects,"Divella brand pasta product recalled due to presence of insects      
       
  
                        
             
Starting date:
December 29, 2016
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:…",2016-12-29,Extraneous Material,Retail,Longos,Ontario,Class 3
7,1668,https://recalls-rappels.canada.ca/en/alert-recall/king-s-pastry-brand-tuxedo-bar-cake-recalled-due-undeclared-hazelnuts,King's Pastry brand Tuxedo Bar Cake recalled due to undeclared hazelnuts,"King's Pastry brand Tuxedo Bar Cake recalled due to undeclared hazelnuts      
       
  
                        
             
Starting date:
December 29, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall…",2016-12-29,Allergen - Tree Nut,Retail,King's Pastry,"New Brunswick, Ontario, Possibly National, Quebec",Class 1
8,1669,https://recalls-rappels.canada.ca/en/alert-recall/roland-brand-manzanilla-olives-stuffed-anchovies-recalled-due-product-quality-issue,Roland brand Manzanilla Olives stuffed with Anchovies recalled due to a product quality issue,"Roland brand Manzanilla Olives stuffed with Anchovies recalled due to a product quality issue      
       
  
                        
             
Starting date:
December 28, 2016
Type of communication:
Recall
Alert sub-type:…",2016-12-28,Other,Retail,Deluca Brothers Foods,Manitoba,Class 2
9,1670,https://recalls-rappels.canada.ca/en/alert-recall/club-house-brand-tartar-sauce-original-recalled-due-spoilage,Club House brand Tartar Sauce - Original recalled due to spoilage,"Club House brand Tartar Sauce - Original recalled due to spoilage      
       
  
                        
             
Starting date:
December 22, 2016
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:…",2016-12-22,Microbiological - Non harmful (Quality/Spoilage),Retail,La Cie McCormick Canada,National,Class 3
10,1671,https://recalls-rappels.canada.ca/en/alert-recall/one-heart-brand-swiss-chard-pesto-recalled-due-potential-presence-dangerous-bacteria,One Heart brand Swiss Chard Pesto recalled due to potential presence of dangerous bacteria,"One Heart brand Swiss Chard Pesto recalled due to potential presence of dangerous bacteria      
       
  
                        
             
Starting date:
December 21, 2016
Type of communication:
Recall
Alert sub-type:
Food…",2016-12-21,Microbiological - Clostridium botulinum,Retail,One Heart Organics,Ontario,Class 1
11,1672,https://recalls-rappels.canada.ca/en/alert-recall/deep-river-snacks-brand-krinkle-cut-sour-cream-onion-kettle-cooked-potato-chips,Deep River Snacks brand Krinkle Cut Sour Cream & Onion Kettle Cooked Potato Chips recalled due to Salmonella,"Deep River Snacks brand Krinkle Cut Sour Cream & Onion Kettle Cooked Potato Chips recalled due to Salmonella      
       
  
                        
             
Starting date:
December 20, 2016
Type of communication:
Recall…",2016-12-20,Microbiological - Salmonella,Retail,"Gecko Beverages, Heart Smart Foods, Lekker Food Distributors Ltd., Origin Imports","Alberta, British Columbia, Ontario, Possibly National, Northwest Territories, Manitoba, Saskatchewan",Class 2
15,1673,https://recalls-rappels.canada.ca/en/alert-recall/old-dutch-brand-cheddar-sour-cream-potato-chips-recalled-due-salmonella,Old Dutch brand Cheddar & Sour Cream Potato Chips recalled due to Salmonella,"Old Dutch brand Cheddar & Sour Cream Potato Chips recalled due to Salmonella      
       
  
                        
             
Starting date:
December 20, 2016
Type of communication:
Recall
Alert sub-type:
Food Recall…",2016-12-20,Microbiological - Salmonella,Retail,Old Dutch Foods Ltd.,"Alberta, British Columbia, Manitoba, Ontario, Saskatchewan",Class 2
