,index,title,date,hazard,hazard_type,recall_class,audience,distribution,brand,company,product
0,0,Frozen Head On Shell On Vannamei Shrimp recalled due to undeclared sulphites,2023-08-16,Retail,Retail,,Retail,Frozen Head On Shell On Vannamei Shrimp Recalled Due To Undeclared Sulphites,,Ontario,To undeclared sulphites
1,1,Mateína brand Yerba Mate Sparkling Energy Infusions recalled due to caffeine labelling requirements,2023-08-11,Chemical,Chemical,,General public,The Affected Products Are Being Recalled From The Marketplace Due To Non-Compliance Regarding Supplemented Food Cautionary Labelling Requirements To Avoid Excessive Consumption Of Caffeine,Mateína,Quebec,Yerba mate sparkling energy infusions
2,2,Soft Serve on the Go brand frozen dessert cups recalled due to Listeria monocytogenes,2023-08-10,Listeria monocytogenes,Microbial contamination,,General public,The Affected Products Are Being Recalled From The Marketplace Due To Possible Listeria Monocytogenes Contamination,Soft Serve on the Go,Ontario,Frozen dessert cups
3,3,Fish Maw recalled due to undeclared sulphites,2023-08-01,Retail,Retail,,Retail,Fish Maw Recalled Due To Undeclared Sulphites,,British Columbia,To undeclared sulphites
4,4,SSS brand Mushroom (enoki) recalled due to Listeria monocytogenes,2023-07-28,Listeria monocytogenes,Microbial contamination,,General public,The Affected Product Is Being Recalled From The Marketplace Due To Possible Listeria Monocytogenes Contamination,SSS,Ontario,Mushroom (enoki)
5,5,Bento brand Squid Seafood Snacks recalled due to undeclared egg,2023-07-27,Egg,Allergen,,General public,Bento Br Squid Seafood Snacks Recalled Due To Undeclared Egg,Bento,Retail,Squid seafood snacks
6,6,Frozen Par Fried Fish Cake (5 Vegetable Mix) recalled due to undeclared egg,2023-07-26,Retail,Retail,,Retail,Frozen Par Fried Fish Cake (5 Vegetable Mix) Recalled Due To Undeclared Egg,,Alberta,To undeclared egg
7,7,Frozen Menbosha Shrimp - Shrimp Flavoured Sandwich recalled due to undeclared egg,2023-07-25,"Hotels, restaurants and institutions",Hotels,,Hotel/Restaurant/Institutional,Frozen Menbosha Shrimp - Shrimp Flavoured Swich Recalled Due To Undeclared Egg,,Alberta,To undeclared egg
8,8,The Village Kitchen brand Chicken Curry recalled due to undeclared mustard,2023-07-21,Mustard,Allergen,,General public,The Affected Products Are Being Recalled From The Marketplace Because They Contain Mustard Which Is Not Declared On The Label,The Village Kitchen,Ontario,Chicken curry
9,9,Dried Sweet Potato recalled due to undeclared sulphites and barley,2023-07-20,Retail,Retail,,Retail,"Dried Sweet Potato Recalled Due To Undeclared Sulphites,Barley",,Ontario,To undeclared sulphites and barley
10,10,Delusional Sauce Co. brand Chili Garlic Confit recalled due to potential presence of dangerous bacteria,2023-07-18,Clostridium botulinum,Microbial contamination,,General public,The Affected Product Is Being Recalled From The Marketplace Because It May Permit The Growth Of Clostridium Botulinum,Delusional Sauce Co.,Ontario,Chili garlic confit
11,11,Dan-D Pak brand Raw Macadamia Nuts recalled due to Salmonella,2023-07-18,Salmonella,Microbial contamination,,General public,The Affected Product Is Being Recalled From The Marketplace Due To Possible Salmonella Contamination,Dan-D Pak,Alberta,Raw macadamia nuts
12,12,Ziyad brand Jameed Soup Starter Soup Base recalled due to undeclared milk,2023-07-14,Milk,Allergen,,General public,The Affected Product Is Being Recalled From The Marketplace Because It Contains Milk Which Is Not Declared On The Label,Ziyad,Ontario,Jameed soup starter soup base
13,13,Connie's Kitchen brand Chicken Sausages - Feta and Spinach recalled due to pieces of plastic,2023-07-13,Extraneous Material,Extraneous Material,,General public,"Connie'S Kitchen Br Chicken Sausages - Feta,Spinach Recalled Due To Pieces Of Plastic",Connie's Kitchen,Retail,Chicken sausages - feta and spinach
14,14,Bento brand Mixed Seafood Snack Larb Flavour recalled due to undeclared egg,2023-07-13,Egg,Allergen,Class 2,Retail,British Columbia,Bento,Retail,Mixed seafood snack larb flavour
15,15,Green Garden brand Mint recalled due to generic E. coli,2023-07-07,E. coli,Microbial contamination,Class 2,Retail,"Ontario, Quebec, Nova Scotia,New Brunswick",Green Garden,Retail,Mint
17,17,Kootenay Meadows brand Nostrala Firm Surface-Ripened Organic Cheese recalled due to generic E. coli,2023-07-05,E. coli,Microbial contamination,Class 2,Retail,Alberta,Kootenay Meadows,Retail,Nostrala firm surface-ripened organic cheese
18,18,Haskalife brand Pure Haskap Berry Super Shots recalled due to possible spoilage,2023-06-26,Quality/Spoilage,Microbial contamination,Class 3,Retail,Alberta,Haskalife,Retail,Pure haskap berry super shots
20,20,Black Diamond brand Lactose Free Marble Cheddar Cheese Natural Cheese Slices recalled due to undeclared lactose,2023-06-20,Labelling and packaging,Labelling and packaging,Class 3,Retail,"New Brunswick, Newfoundl,Labrador, Ontario,Quebec",Black Diamond,Retail,Lactose free marble cheddar cheese natural cheese slices
21,21,Sorbetero brand Mango Frozen Dessert Bars recalled due to undeclared milk,2023-06-17,"Candy, confectionary, snacks and sweeteners",Candy,,Class 2,Nationally,Sorbetero,"Food - Candy, confectionary, snacks and sweeteners",Mango frozen dessert bars
22,22,Alasko brand IQF Antioxidant Blend recalled due to norovirus,2023-06-17,Norovirus,Microbial contamination,Class 3,General public,Nationally,Alasko,Alasko brand IQF Whole Raspberries and IQF Antioxidant Blend recalled due to norovirus,Iqf antioxidant blend
23,23,Saladitos brand Lupini Beans recalled due to potential presence of dangerous bacteria,2023-06-16,Clostridium botulinum,Microbial contamination,Class 1,General public,"Ontario, Quebec,,Nova Scotia",Saladitos,Saladitos brand Lupini Beans recalled due to potential  presence of dangerous bacteria,Lupini beans
24,24,Peller Family Vineyards brand Pinot Grigio recalled due to bloating and presence of sediment,2023-06-16,Quality/Spoilage,Microbial contamination,Class 3,Retail,Ontario,Peller Family Vineyards,Retail,Pinot grigio
25,25,Sélection du Pâtissier brand Framboisier Cake and WOW! Factor Desserts brand Berry Burst Slab Cake recalled due to norovirus contamination of raspberries used in these products,2023-06-15,Norovirus,Microbial contamination,Class 1,General public,"The Affected Products Are Being Recalled From The Marketplace Due To Possible Norovirus Contamination Of The Raspberries Used In These Products

The Recalled Products Have Been Sold Nationally",Sélection du Pâtissier,Alasko brand IQF Whole Raspberries and IQF Antioxidant Blend recalled due to norovirus,Framboisier cake and wow! factor desserts brand berry burst slab cake
26,26,Brunswick brand Sardines Hot Peppers recalled due to container integrity defects,2023-06-15,Other,Other,Class 3,Retail,Ontario,Brunswick,Retail,Sardines hot peppers
27,27,Alasko brand IQF Whole Raspberries and IQF Antioxidant Blend recalled due to norovirus,2023-06-14,Frozen,Fruits and vegetables,,Class 1,"The Food Recall Warning Issued On 2023-06-09 Has Been Updated To Include Additional Distribution Information This Additional Information Was Identified During The Canadian Food Inspection Agency’S Food Safety Investigation

The Affected Products Are…",Alasko,Food - Fruits and vegetables - Frozen,Iqf whole raspberries and iqf antioxidant blend
28,28,Kanimi brand Imitation crab products recalled due to undeclared egg and wheat,2023-06-13,Egg,Allergen,Class 1,Hotel/Restaurant/Institutional,"Alberta, British Columbia, Manitoba, Ontario, Saskatchewan,Yukon",Kanimi,"Hotels, restaurants and institutions",Imitation crab products
29,29,Battaglia's Lorne Park Marketplace brand frozen Raspberries recalled due to norovirus,2023-06-13,Norovirus,Microbial contamination,Class 1,General public,Ontario,Battaglia's Lorne Park Marketplace,Alasko brand IQF Whole Raspberries and IQF Antioxidant Blend recalled due to norovirus,Frozen raspberries
30,30,Al Kanater brand Tahini recalled due to Salmonella,2023-06-13,"Nuts, grains, and ",Nuts,,Class 2,"Quebec, Ontario, Saskatchewan,,Alberta",Al Kanater,"Food - Nuts, grains, and seeds",Tahini
31,31,Saladitos brand Lupini Beans recalled due to potential  presence of dangerous bacteria,2023-06-09,Clostridium botulinum,Microbial contamination,,General public,The Affected Product Is Being Recalled From The Marketplace Because It May Permit The Growth Of Clostridium Botulinum,Saladitos,Quebec,Lupini beans
32,32,Canada Max Source brand Mixed Vegetables - Wok Blend recalled due to presence of potato berry,2023-06-08,Extraneous Material,Extraneous Material,Class 3,Hotel/Restaurant/Institutional,Alberta,Canada Max Source,"Hotels, restaurants and institutions",Mixed vegetables - wok blend
33,33,Earth's Own brand Oat Vanilla Fortified Oat Beverage recalled due to possible spoilage,2023-06-08,Quality/Spoilage,Microbial contamination,Class 3,Retail,"Alberta, British Columbia, Manitoba,Saskatchewan",Earth's Own,Retail,Oat vanilla fortified oat beverage
34,34,Tit-Bit brand Garlic Powder recalled due to Bacillus cereus,2023-06-08,Other,Microbial contamination,Class 2,Retail,"Ontario,Quebec",Tit-Bit,Retail,Garlic powder
35,35,XOXO brand Pinot Grigio + Chardonnay recalled due to bloating and presence of sediment,2023-06-07,Quality/Spoilage,Microbial contamination,Class 3,Retail,"Ontario,Manitoba",XOXO,Retail,Pinot grigio + chardonnay
36,36,Olam Food Ingredients (OFI) brand Onion Powder Prem recalled due to Salmonella,2023-06-06,Salmonella,Microbial contamination,Class 2,Hotel/Restaurant/Institutional,Ontario,Olam Food Ingredients (OFI),"Hotels, restaurants and institutions",Onion powder prem
37,37,Miyako brand Shredded Crab Meat recalled due to undeclared egg and wheat,2023-06-02,Egg,Allergen,Class 2,Hotel/Restaurant/Institutional,British Columbia,Miyako,"Hotels, restaurants and institutions",Shredded crab meat
38,38,Nature’s Pick brand Fresh cut cubed butternut squash recalled due to Listeria monocytogenes,2023-06-02,Fresh,Fruits and vegetables,,Class 1,Ontario,Nature’s Pick,Food - Fruits and vegetables - Fresh,Fresh cut cubed butternut squash
39,39,Goose Point Oysters brand Pacific Oysters recalled due to generic E. coli,2023-06-01,E. coli,Microbial contamination,Class 2,Retail,British Columbia,Goose Point Oysters,Retail,Pacific oysters
40,40,G Fuel brand Energy Drinks recalled due to high levels of caffeine,2023-05-30,Chemical,Chemical,,General public,Nationally,G Fuel,Retail,Energy drinks
41,41,Kootenay Meadows brand Nostrala Firm Surface-Ripened Organic Cheese recalled due to  Staphylococcus aureus and generic E. coli,2023-05-27,E. coli,Microbial contamination,Class 2,Retail,"British Columbia,Alberta",Kootenay Meadows,Retail,Nostrala firm surface-ripened organic cheese
42,42,Simply Hot brand Thai Green Peppers recalled due to Salmonella,2023-05-24,Fresh,Fruits and vegetables,,Class 2,Nationally,Simply Hot,Food - Fruits and vegetables - Fresh,Thai green peppers
43,43,Nina's Pierogies brand Vegan Cheddar Pierogies recalled due to undeclared milk,2023-05-20,Other,Other,,Class 2,Nationally,Nina's Pierogies,Food - Other,Vegan cheddar pierogies
44,44,Uruthira brand Plain Chilli Powder recalled due to Bacillus cereus,2023-05-19,Other,Microbial contamination,Class 2,Retail,"British Columbia, Ontario,Quebec",Uruthira,Retail,Plain chilli powder
45,45,Golden Mushroom brand Enoki Mushroom recalled due to Listeria monocytogenes,2023-05-17,Fresh,Fruits and vegetables,,Class 1,Nationally,Golden Mushroom,Food - Fruits and vegetables - Fresh,Enoki mushroom
46,46,Post Spoon Sized Shredded Wheat Original brand Cereal recalled due to possible spoilage,2023-05-17,Quality/Spoilage,Microbial contamination,Class 3,Retail,"Alberta, British Columbia, Manitoba, Nova Scotia, Ontario, Quebec, Saskatchewan",Post Spoon Sized Shredded Wheat Original,Retail,Cereal
47,47,San Daniele brand and Mastro brand Mortadella recalled due to undeclared pistachio,2023-05-16,Tree nut,Allergen,Class 2,Hotel/Restaurant/Institutional,"Alberta, Ontario, Quebec,Nova Scotia",San Daniele,"Hotels, restaurants and institutions",And mastro brand mortadella
48,48,Hidden Valley brand The Original Ranch Homestyle Topping & Dressing recalled due to undeclared mustard,2023-05-16,Mustard,Allergen,Class 2,Retail,"Alberta, British Columbia,,Saskatchewan",Hidden Valley,Retail,The original ranch homestyle topping & dressing
49,49,Boosh brand Coconut Curry Cauli Bowl recalled due to undeclared milk,2023-05-12,Milk,Allergen,Class 1,General public,Nationally,Boosh,Boosh brand Coconut Curry Cauli Bowl recalled due to undeclared milk,Coconut curry cauli bowl
50,50,Natural Delights brand Medjool Dates recalled due insects,2023-05-09,Extraneous Material,Extraneous Material,Class 3,Retail,Nationally,Natural Delights,Retail,Medjool dates
51,51,Red Chilli Powder - Extra Hot recalled by Sun Global due to Bacillus cereus,2023-05-05,Herbs and spices,Herbs and spices,,Class 2,Ontario,,Food - Herbs and spices,To bacillus cereus
52,52,Trudeau Farms brand Curly Parsley recalled due to Salmonella,2023-05-03,Fresh,Fruits and vegetables,,Class 2,Quebec,Trudeau Farms,Food - Fruits and vegetables - Fresh,Curly parsley
53,53,M&M Food Market brand Cheesy Pizza Rolls recalled due to pieces of metal,2023-04-28,Extraneous Material,Extraneous Material,Class 3,Retail,Nationally,M&M Food Market,Retail,Cheesy pizza rolls
54,54,Fresh Frozen Raw Vannamei White Shrimp IQF recalled due to 3-amino-2-oxazolidinone,2023-04-25,Frozen,Fish and seafood,,Class 3,Quebec,,Food - Fish and seafood - Frozen,To 3-amino-2-oxazolidinone
55,55,Certain Oysters recalled due to improper harvest authorization,2023-04-21,Fresh,Fish and seafood,,Class 3,"Ontario,Quebec",,Food - Fish and seafood - Fresh,To improper harvest authorization
56,56,M&M Food Market brand Angus Beef Burgers recalled due to undeclared gluten and wheat,2023-04-18,Gluten,Allergen,Class 3,Retail,Nationally,M&M Food Market,Retail,Angus beef burgers
57,57,Hot sauce recalled due to Bacillus cereus,2023-04-17,Condiments,Condiments,,Class 2,Ontario,,Food - Condiments,To bacillus cereus
58,58,Nelson’s Chocofellar brand Dark Chocolate products recalled due to undeclared milk,2023-04-14,Milk,Allergen,Class 1,General public,"The Affected Products Are Being Recalled From The Marketplace Because They May Contain Milk Which Is Not Declared On The Label

The Recalled Products Have Been Sold In British Columbia",Nelson’s Chocofellar,Nelson’s Chocofellar brand 60% Dark Chocolate with Hazelnuts recalled due to undeclared milk,Dark chocolate products
59,59,Nelson’s Chocofellar brand Dark Chocolate bars recalled due to undeclared milk,2023-04-07,Milk,Allergen,Class 1,General public,"The Affected Products Are Being Recalled From The Marketplace Because They May Contain Milk Which Is Not Declared On The Label

The Recalled Products Have Been Sold In British Columbia",Nelson’s Chocofellar,Nelson’s Chocofellar brand 60% Dark Chocolate with Hazelnuts recalled due to undeclared milk,Dark chocolate bars
60,60,Plantein brand Plant-Based Schnitzels recalled due to undeclared milk,2023-04-07,Other,Other,,Class 1,Nationally,Plantein,Food - Other,Plant-based schnitzels
61,61,Salento Organics brand Dark Chocolate products recalled due to undeclared milk,2023-04-06,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,"The Recall Notification Issued On March 10, 2023, Has Been Updated To A Food Recall Warning Due To Additional Information This Additional Information Was Identified During The Canadian Food Inspection Agency'S Food Safety Activities

The…",Salento Organics,"Food - Candy, confectionary, snacks and sweeteners",Dark chocolate products
